recipient_parent_name,top_words_from_serv_desc,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number,analysis_date,raw_data_download_date
EXCELLA CONSULTING  INC.,"telecom, systems, development",1,3974924.93,7949849.86,2017-09-15 07:35:53.000000,2019-09-26 00:00:00.000000,7918 JONES BRANCH DR STE 600,,MC LEAN,VA,VIRGINIA,221023307,11.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SIERRA HOLDINGS CORP.,"equipment, telephone, telegraph, support, telecom",55,3814124.0099999993,3814124.0099999993,2009-10-28 00:00:00.000000,2021-08-29 00:00:00.000000,12730 FAIR LAKES CIRCLE,,FAIRFAX,VA,VIRGINIA,220334901,11.0,7033908276,7033908276,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
POINT BLANK ENTERPRISES  INC.,"armor,, personal, tactical, sets,, kits,",5,3806963.6,3806963.6,2017-06-22 15:20:44.000000,2018-05-21 00:00:00.000000,2102 SW 2ND ST,,POMPANO BEACH,FL,FLORIDA,330693116,20,9546300900,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
A. HAROLD AND ASSOCIATES LLC,"training, education, general, curriculum, development",2,3784860.76,3784860.76,2012-07-26 00:00:00.000000,2018-02-25 00:00:00.000000,11200 ST JOHNS INDUSTRIAL PKWY STE 1,,JACKSONVILLE,FL,FLORIDA,322467659,4.0,9042651940,9042120993,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PARACLETE ARMOR & EQUIPMENT INC,"armor,, personal, individual, equipment",1,3606700.68,3606700.68,2010-04-21 00:00:00.000000,2012-08-02 00:00:00.000000,106 E CLARK ST,,SAINT PAULS,NC,NORTH CAROLINA,283841902,07,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"PATRIOT SOLUTIONS, INC","accounting, support, management:, services",2,3446994.4,5607922.4,2009-09-30 00:00:00.000000,2017-04-21 00:00:00.000000,1325 HARRISON AVE,,PANAMA CITY,FL,FLORIDA,32401,,2566181339,7575641510,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ALTEC  INC.,"trucks, truck, tractors,, wheeled",5,3313496.75,4243751.5,2014-09-24 00:00:00.000000,2018-09-09 00:00:00.000000,210 INVERNESS CENTER DRIVE,,BIRMINGHAM,AL,ALABAMA,352424834,6.0,2054582341,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GOVERNMENT ACQUISITIONS  INC.,"adp, components, equipment, information, technology",34,3304328.5300000003,3673900.5300000003,2008-08-19 00:00:00.000000,2020-01-07 00:00:00.000000,231 W 4TH ST APT 310,,CINCINNATI,OH,OHIO,452022679,1.0,5137218700,5137213999,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
KEARNEY & COMPANY  P.C.,"support, management:, financial",1,3234767.62,3234767.62,2012-09-14 00:00:00.000000,2017-09-30 00:00:00.000000,1701 DUKE ST STE 500,,ALEXANDRIA,VA,VIRGINIA,223143415,8.0,7039315600,7039313655,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MLINQS  LLC,"services, telecom, integrated, hardware, software",3,3224172.08,3419662.58,2013-09-18 00:00:00.000000,2019-03-18 00:00:00.000000,11350 RANDOM HILLS RD STE 800,,FAIRFAX,VA,VIRGINIA,220306044,11.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
STERLING PARENT INC.,"support, professional:, intelligence, program, management",1,3217241.76,3549065.92,2012-01-24 00:00:00.000000,2018-09-13 00:00:00.000000,4300 FAIR LAKES CT,,FAIRFAX,VA,,220334232,VA11,7032846219,7032845001,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AMERICAN PURCHASING SERVICES  INC.,"medical, replenishable, field, sets,, kits,",16,3154778.829999999,3154778.829999999,2015-08-26 00:00:00.000000,2019-01-11 00:00:00.000000,10315 USA TODAY WAY,,MIRAMAR,FL,FLORIDA,330253902,20,3053640888,3059536723,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ALLIANT TECHSYSTEMS INC.,"ammunition,, 30mm, mm, 30, 75mm",23,3145145.13,3145145.13,2009-02-05 00:00:00.000000,2018-04-11 00:00:00.000000,900 EHLEN DR,,ANOKA,MN,MINNESOTA,553031778,6.0,2087503288,2087993945,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AZIMUTH CORPORATION,"support, administrative:",2,3017945.6,3017945.6,2013-02-05 00:00:00.000000,2017-06-30 00:00:00.000000,4027 COLONEL GLENN HWY STE 230,,BEAVERCREEK,OH,OHIO,454311695,10.0,9372568571,9372568752,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GLOBAL RESOURCE SOLUTIONS  INC.,"support, administrative:",2,2893911.23,8360327.83,2017-05-25 13:34:48.000000,2022-05-31 00:00:00.000000,3701 PENDER DR STE 320,,FAIRFAX,VA,VIRGINIA,220306045,11.0,5712575155,7035357866,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BASHEN CORPORATION,"support, professional:, human, resources",33,2821350.0399999996,4944337.869999999,2013-09-20 00:00:00.000000,2018-09-24 00:00:00.000000,1616 S VOSS RD STE 300,,HOUSTON,TX,TEXAS,770572627,07,7137808056,7137809252,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COLT DEFENSE HOLDING LLC,"guns,, 30mm, weapons, equipment, safety",9,2804210.0,2804210.0,2011-11-07 00:00:00.000000,2018-04-07 00:00:00.000000,547 NEW PARK AVE,,WEST HARTFORD,CT,CONNECTICUT,061101336,1.0,8602441364,8602441442,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ZENETEX  LLC,"support, professional:, program, management",2,2801568.0,5739417.6,2016-05-23 10:28:33.000000,2021-05-30 00:00:00.000000,13800 COPPERMINE RD STE 307,,HERNDON,VA,VIRGINIA,201716163,11.0,3018629080,3018629025,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CORPORATE SOURCE  INC.  THE,"housekeeping, custodial, janitorial, fire, protection",3,2799831.3600000003,3778038.4799999995,2010-05-28 00:00:00.000000,2022-09-02 00:00:00.000000,1225 FRANKLIN AVE STE 335,,GARDEN CITY,NY,NEW YORK,115301659,4.0,5164195881,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
UNICOM SYSTEMS INC.,"information, technology, components, software",2,2797464.18,2797464.18,2016-03-29 09:25:37.000000,2018-09-22 00:00:00.000000,15010 CONFERENCE CENTER DR STE 110,,CHANTILLY,VA,VIRGINIA,201513852,10.0,7035022482,7034635920,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TRIRIGA INC.,"adp, software",1,2787106.15,2787106.15,2009-09-30 00:00:00.000000,2012-06-30 00:00:00.000000,6700 VIA AUSTI PKWY,,LAS VEGAS,NV,,891193545,NV03,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GEORGE J. KOSTAS RESEARCH INSTITUTE FOR HOMELAND SECURITY AT NORTHEASTERN UNIVER,"support, professional:, program, management",1,2711012.38,7758040.19,2016-10-03 11:26:21.000000,2021-08-31 00:00:00.000000,141 S BEDFORD ST,,BURLINGTON,MA,MASSACHUSETTS,01803,06,7812388422,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ATK SPORTING GROUP LLC,"ammunition,, 30mm",16,2675070.72,2675070.72,2014-08-21 00:00:00.000000,2016-04-06 00:00:00.000000,1 ATK WAY,,ANOKA,MN,MINNESOTA,553034989,6.0,7633232414,7633232506,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FEDERAL MANAGEMENT SYSTEMS  INC.,"financial, services, support, management:, accounting",3,2664822.5300000003,2664822.5300000003,2007-11-01 00:00:00.000000,2009-08-31 00:00:00.000000,462 K ST NW,,WASHINGTON,DC,,200012531,DC00,2028423003,2028294470,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BLUELINE TACTICAL AND POLICE SUPPLY  LLC,"lease, rental, equipment, training, aids",6,2551438.0,4711327.08,2015-09-30 00:00:00.000000,2020-09-29 00:00:00.000000,444 SAW MILL RIVER RD,,ELMSFORD,NY,NEW YORK,105231030,17,9145608431,9147408139,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ARROW ELECTRONICS  INC.,"components, information, technology, equipment, telephone",11,2535789.58,2578975.58,2010-09-25 00:00:00.000000,2019-04-15 00:00:00.000000,8444 WESTPARK DR STE 200,,MCLEAN,VA,VIRGINIA,221025112,11,7037520640,7037520613,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MAVAGI ENTERPRISES INC,"housekeeping, landscaping, groundskeeping, custodial, janitorial",5,2522822.9,3143920.92,2010-05-28 00:00:00.000000,2018-08-31 00:00:00.000000,5505 GRISSOM RD STE 103,,SAN ANTONIO,TX,TEXAS,782383038,20.0,2106820001,2106820069,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SOUTHEAST VOCATIONAL ALLIANCE INC.,"composite, food, packages",2,2517287.68,2538511.68,2012-05-16 00:00:00.000000,2018-07-31 00:00:00.000000,1235 NORTH LOOP W STE 500,,HOUSTON,TX,TEXAS,77087,,7139668171,8662334562,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TELCO SOLUTIONS INC,"adp, software, information, technology, input",6,2514590.0,11446948.0,2009-09-25 00:00:00.000000,2022-10-30 00:00:00.000000,6446 WARWICK AVE,,NAPLES,FL,FLORIDA,341138231,19,2013279300,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"DELANY, SIEGEL, ZORN & ASSOCIATES, INC.","support, professional:, human, resources, services",9,2486322.76,2486322.76,2010-03-29 00:00:00.000000,2018-09-24 00:00:00.000000,1501 LEE HIGHWAY STE 205,,ARLINGTON,VA,VIRGINIA,22209,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
USGC  INC.,"support, professional:",11,2472569.66,2472569.66,2014-05-13 00:00:00.000000,2015-12-31 00:00:00.000000,2138 PRIEST BRIDGE CT STE 4,,CROFTON,MD,MARYLAND,211142463,5.0,2402604040,2402604039,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
EVIGILANT.COM  INC,"telecom, telecommunications, tech, rep, svcs",3,2458290.7800000003,3717661.1999999997,2011-09-29 00:00:00.000000,2015-03-26 00:00:00.000000,8253-M BACKLICK RD,,LORTON,VA,VIRGINIA,220791447,08,7032944117,2023184811,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
M. L. BENJAMIN ENTERPRISES INC.,"support, administrative:, word, processing, typing",8,2418505.62,2751004.5,2014-09-26 00:00:00.000000,2019-01-07 00:00:00.000000,90 NORTH ST,,MIDDLETOWN,NY,NEW YORK,109404973,18.0,8006772532,8452314977,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DKW COMMUNICATIONS  INC.,"telecom, programming",3,2385257.67,5281395.27,2016-07-27 00:00:00.000000,2021-01-26 00:00:00.000000,2001 L ST NW STE 800,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200364939,0.0,2023557407,2022968215,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
T.Q.M.  INC.,"replenishable, field, medical, sets,, kits,",9,2375786.63,2375786.63,2015-09-16 00:00:00.000000,2019-01-11 00:00:00.000000,3088 ELM PT INDUSTRIAL DR,,SAINT CHARLES,MO,MISSOURI,633014337,03,8002910329,6367232286,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
KNIGHT'S ARMAMENT COMPANY,"guns,, 30mm, optical, sighting, ranging",12,2207425.8100000005,2207425.8100000005,2014-09-12 00:00:00.000000,2019-09-21 00:00:00.000000,701 COLUMBIA BLVD,,TITUSVILLE,FL,,327807902,FL08,3216079900,3212681498,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
JASPER SAWYER COMPANY L.L.C,"food,, oils, fats, sets,, kits,",6,2084848.2999999998,9701151.899999999,2012-05-07 00:00:00.000000,2018-03-31 00:00:00.000000,5601 HOLLOW OAK RD,,ORLANDO,FL,FLORIDA,328083413,10.0,4079005547,3217656437,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PYRAMID SYSTEMS  INC.,"telecom, annual, software, maintenance, service",1,2082541.14,4300652.22,2016-07-27 00:00:00.000000,2021-01-26 00:00:00.000000,2677 PROSPERITY AVE STE 700,,FAIRFAX,VA,VIRGINIA,220314928,11.0,7039950103,7035538444,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SIG SAUER  INC,"guns,, 30mm, weapons, systems, specific",5,2046194.62,122046194.62,2017-02-21 00:00:00.000000,2018-12-31 00:00:00.000000,72 PEASE BLVD,,NEWINGTON,NH,NEW HAMPSHIRE,038016801,1.0,6036103602,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
OPTIMO INFORMATION TECHNOLOGY LLC.,"support, professional:, program, management",1,1996800.0,3993600.0,2016-09-28 00:00:00.000000,2020-09-27 00:00:00.000000,240 MARKET ST STE 112,,BLOOMSBURG,PA,PENNSYLVANIA,178151950,11.0,8775648552,8775648552,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
RHG GROUP  INC.,"travel, transportation, relocation, lodging, recruitment:",1,1996163.56,4158093.17,2014-07-01 00:00:00.000000,2018-06-30 00:00:00.000000,915 5TH ST NW,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200012501,0.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TERATHINK CORPORATION,"support, professional:, program, evaluation, review",1,1934264.45,3919515.75,2017-09-26 00:00:00.000000,2019-09-29 00:00:00.000000,11955 FREEDOM DR STE 780,,RESTON,VA,VIRGINIA,201905673,11.0,7037736232,7034353555,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
EMS SAFETY SERVICES INC,"education, training, lectures",3,1872000.0,10638000.0,2016-09-16 14:07:47.000000,2021-09-28 00:00:00.000000,1046 CALLE RECODO STE K,,SAN CLEMENTE,CA,CALIFORNIA,926736261,49.0,8002159555,9493882776,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FILEONQ  INC.,"telecom, annual, hardware, maintenance, service",5,1841640.0,1841640.0,2010-06-23 00:00:00.000000,2018-09-28 00:00:00.000000,832 INDUSTRY DR,,TUKWILA,WA,WASHINGTON,981883410,9.0,2065753488,2065753927,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FORD MOTOR COMPANY,"passenger, motor, vehicles",47,1801881.0,1801881.0,2015-07-30 00:00:00.000000,2018-01-12 00:00:00.000000,16800 EXECUTIVE PLAZA DR STE NORTH,,DEARBORN,MI,MICHIGAN,481264262,12.0,3133901095,3133378037,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CAREY & COMPANY  LTD.,"medical, replenishable, field, sets,, kits,",8,1791394.92,1791394.92,2015-09-15 00:00:00.000000,2017-09-30 00:00:00.000000,312 F ST.,,SALIDA,CO,COLORADO,812012602,5.0,7195394843,7195396190,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NEOSTEK  INC,"telecom, data, entry",1,1777536.07,3988063.93,2017-07-10 00:00:00.000000,2021-02-09 00:00:00.000000,2011 CRYSTAL DR STE 400,,ARLINGTON,VA,VIRGINIA,222023709,8.0,9176586892,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FARBER SPECIALTY VEHICLES  INC.,"passenger, motor, vehicles",3,1772058.0,6960430.0,2017-09-06 00:00:00.000000,2022-09-05 00:00:00.000000,7052 AMERICANA PARKWAY,,REYNOLDSBURG,OH,OHIO,43068,12.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"JOHNS HOPKINS UNIVERSITY, THE","training, curriculum, development, education",4,1760916.4400000002,9050622.1,2010-02-08 00:00:00.000000,2019-09-29 00:00:00.000000,3400 N CHARLES ST W400 WYMAN PARK BLDG,,BALTIMORE,MD,MARYLAND,21218,,4105168634,4105167775,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SUCCESS TECH MANAGEMENT AND SERVICES  INC.,"housekeeping, guard",1,1710678.37,1710678.37,2015-12-01 00:00:00.000000,2017-09-30 00:00:00.000000,65 AFTON PARKWAY,,PORTSMOUTH,VA,VIRGINIA,237022850,3.0,5712921596,5712921598,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
WABANA GROUP LLC,"guard, housekeeping, services",1,1710678.37,1710678.37,2011-09-19 00:00:00.000000,2016-09-18 00:00:00.000000,708 BROADWAY STE 110,,TACOMA,WA,,984023778,WA06,2062509411.0,2532845713.0,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
XEROX CORPORATION,"office, lease, equipment, accessories, machines",82,1702113.37,2609869.8200000003,2004-10-01 00:00:00.000000,2022-09-29 00:00:00.000000,8260 WILLOW OAKS CORPORATE DR 6TH FL,,FAIRFAX,VA,VIRGINIA,220314513,11.0,7032072761,8007492782,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
WESTWIND COMPUTER PRODUCTS  INC.,"components, information, technology, adp, software",8,1701235.0099999995,1701235.0099999995,2014-07-02 00:00:00.000000,2020-01-07 00:00:00.000000,2703 BROADBENT PKWY NE STE B,,ALBUQUERQUE,NM,,871072279,NM01,5053454720,5053454419,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
U.S. FEDERAL SOLUTIONS  INC.,"support, management:, contract, procurement, acquisition",3,1668758.04,9359774.16,2017-07-26 00:00:00.000000,2022-09-14 00:00:00.000000,8710 CAMERON ST STE 907,,SILVER SPRING,MD,MARYLAND,209103761,8.0,2025364657,2027475634,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
RED RIVER COMPUTER CO.  INC.,"information, technology, components, adp, support",13,1650497.1,1749849.54,2012-08-14 00:00:00.000000,2020-09-15 00:00:00.000000,21 WATER ST STE 500,,CLAREMONT,NH,NEW HAMPSHIRE,037432216,2.0,6034488880,6034488844,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DEVA & ASSOCIATES PC,"support, management:, financial",3,1592841.84,1592841.84,2012-09-13 00:00:00.000000,2017-09-13 00:00:00.000000,1901 RESEARCH BLVD,,ROCKVILLE,MD,MARYLAND,20850,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MACK  PAT V,"telecom, telecommunications",4,1592824.04,6344641.72,2016-08-25 17:04:28.000000,2021-08-31 00:00:00.000000,2495 TRUXTUN RD STE 206,,SAN DIEGO,CA,CALIFORNIA,921066159,52.0,7076225728,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
RELX INC.,"books, pamphlets, special, studies, analysis",4,1577708.3,1963325.55,2014-04-23 00:00:00.000000,2020-02-14 00:00:00.000000,9393 SPRINGBORO PIKE,,MIAMISBURG,OH,OHIO,453424424,10.0,2028574648,8669603415,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PCS ENTERPRISES  INC.,"support, professional:, program, management",3,1574806.5699999998,1860806.5100000002,2014-09-29 00:00:00.000000,2019-02-28 00:00:00.000000,3002 MITCHELLVILLE RD,,BOWIE,MD,MARYLAND,207161300,5.0,2404327045,3012182265,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ONE STOP ENVIRONMENTAL LLC,"housekeeping, waste, treatment, storage",3,1542603.66,1542603.66,2013-09-10 00:00:00.000000,2018-09-15 00:00:00.000000,4800 DIVISION AVE,,BIRMINGHAM,AL,ALABAMA,352221612,7.0,2055958188,2055958901,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ALLIANT TECHSYSTEMS INC.,"ammunition,, 30mm, 75mm",1,1526166.18,1526166.18,2011-12-21 00:00:00.000000,2017-01-09 00:00:00.000000,900 EHLEN DR,,ANOKA,MN,,553031778,MN06,2087503288,2087993945,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INTEGRATED FINANCE AND ACCOUNTING SOLUTIONS  LLC,"support, professional:, program, management",1,1510954.24,1510954.24,2012-09-26 00:00:00.000000,2019-09-26 00:00:00.000000,"4500 POND WAY, STE. 270",,WOODBRIDGE,VA,VIRGINIA,221922930,11,7035834327,7035834328,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
POTOMACWAVE CONSULTING  INC.,"support, professional:, program, management, policy",2,1383948.2,7129666.12,2015-09-25 00:00:00.000000,2022-09-29 00:00:00.000000,214 PRINCE ST,,ALEXANDRIA,VA,VIRGINIA,223143314,8.0,7036235144,7033424340,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NUTMEG COMPANIES  INC.  THE,"repair, alteration, office, buildings",3,1377415.37,1377415.37,2017-09-22 00:00:00.000000,2018-06-30 00:00:00.000000,1 OHIO AVE,,NORWICH,CT,CONNECTICUT,063601536,2.0,8608231780,8608851421,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BAE SYSTEMS PLC,"armor,, personal, support, services, management",8,1369731.5399999998,1369731.5399999998,2008-10-01 00:00:00.000000,2016-09-26 00:00:00.000000,7822 S 46TH ST,,PHOENIX,AZ,,850445313,AZ07,6026437294,6026437594,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PG PUBLIC SERVICES  LLC,"telecom, strategy, architecture, systems, development",3,1365009.83,1452479.18,2014-09-29 00:00:00.000000,2018-03-28 00:00:00.000000,1015 HALF 7 ST .NW 2ND FL,,WASHINGTON,DC,DISTRICT OF COLUMBIA,20001,0.0,7036296850,7033107849,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
THE ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES INC,"training, aids, education, information, technology",2,1346160.0,1346160.0,2014-04-04 00:00:00.000000,2017-09-30 00:00:00.000000,8120 WOODMONT AVE STE 310,,BETHESDA,MD,MARYLAND,208142743,8.0,3019510102,3019510140,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ADAPTIVE DIGITAL SYSTEMS  INC.,"equipment, recording, reproducing, video, &",7,1313374.0,1319035.0,2010-06-23 00:00:00.000000,2019-06-06 00:00:00.000000,20322 SW ACACIA ST STE 200,,NEWPORT BEACH,CA,CALIFORNIA,926601504,48,9499553116,9499553108,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NEW TECH SOLUTIONS  INC.,"components, adp, information, technology, software",25,1306434.9799999997,1791251.3800000004,2010-03-18 00:00:00.000000,2023-04-30 00:00:00.000000,4179 BUSINESS CENTER DR,,FREMONT,CA,CALIFORNIA,945383168,17,5103534070,5103534076,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FLEET MANAGEMENT SOLUTIONS  INC.,"electronic, modules",1,1245845.68,1245845.68,2017-12-04 00:00:00.000000,2018-01-03 00:00:00.000000,7391 LINCOLN WAY,,GARDEN GROVE,CA,CALIFORNIA,928411428,47.0,6155795166,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BULLETIN NEWS  LLC,"support, information, retrieval, communications, professional:",1,1228568.04,1228568.04,2009-07-15 00:00:00.000000,2017-04-29 00:00:00.000000,11190 SUNRISE VALLEY DR STE 20,,RESTON,VA,VIRGINIA,201913615,11.0,7034836100,7034836119,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CISION US  INC.,"support, professional:, communications",1,1228568.04,1228568.04,2018-04-13 15:32:51.000000,2017-03-29 00:00:00.000000,11190 SUNRISE VALLEY DR STE 130,,RESTON,VA,VIRGINIA,201914348,11,7034836100,7037490019,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ACE PARKING MANAGEMENT  INC.,"lease, rental, parking, facilities",5,1226635.2,1226635.2,2013-09-15 00:00:00.000000,2022-09-14 00:00:00.000000,645 ASH ST,,SAN DIEGO,CA,CALIFORNIA,921013211,52.0,6192336624,6195449468,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
VENTURE NETCOMM  INC.,"equipment, adp, installation, software, supplies",21,1206420.6600000001,19706420.66,2011-09-09 00:00:00.000000,2018-03-31 00:00:00.000000,1377 CAPITAL CIR,,LAWRENCEVILLE,GA,GEORGIA,300435866,7.0,6783770007,6784428832,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
UNICOM GOVERNMENT  INC.,"adp, components, software",2,1183910.98,1183910.98,2012-03-07 00:00:00.000000,2018-09-22 00:00:00.000000,2553 DULLES VIEW DR STE 100,,HERNDON,VA,VIRGINIA,20171,,7035022071,7032225217,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DAKOTA CONSULTING INCORPORATED,"programming, telecom, services",1,1176094.92,1872112.13,2011-09-01 00:00:00.000000,2016-06-13 00:00:00.000000,1110 BONIFANT ST STE 310,,SILVER SPRING,MD,MARYLAND,20910,,2408397812,3013285297,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
EMERGENT  LLC,"software, adp, information, technology, equipment",4,1151373.5,1151373.5,2010-08-11 00:00:00.000000,2019-05-30 00:00:00.000000,8219 LEESBURG PIKE STE 300,,VIENNA,VA,VIRGINIA,221822653,11,7032884556,7039428953,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
EAGLE HILL CONSULTING  LLC,"support, professional:, program, management",1,1141940.8,1141940.8,2012-09-03 00:00:00.000000,2017-06-09 00:00:00.000000,241 18TH ST S STE 615,,ARLINGTON,VA,VIRGINIA,222023405,8.0,7036253029,7032298601,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FEDERAL FACILITATORS GROUP LLC,"support, professional:, human, resources, services",7,1133142.08,1133142.08,2010-03-19 00:00:00.000000,2018-09-24 00:00:00.000000,904 SKIMMER BAY BEND,,MYRTLE BEACH,SC,,295725737,SC07,7046748281,7039319572,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ELECTRONIC WARFARE ASSOCIATES  INC.,"communications, security, equipment, components",5,1127900.0,1127900.0,2013-09-23 00:00:00.000000,2018-06-30 00:00:00.000000,13873 PARK CENTER RD STE 500,,HERNDON,VA,VIRGINIA,201713251,10,7039045048,7039045779,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,"lease, rental, parking, facilities",1,1114860.0,1114860.0,2018-09-01 00:00:00.000000,2019-08-31 00:00:00.000000,801 I ST,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200010000,,3129352911,3125410457,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
URBAN ADVENTURES AT GALLERY PLACE  LLC,"recreational, social, services",18,1113413.1600000001,1625093.1600000006,2010-04-01 00:00:00.000000,2021-02-28 00:00:00.000000,1612 U ST NW #400,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200096221,0.0,2029392569,2022326953,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PRO CON GROUP  INC.,"repair, alteration, office, buildings",2,1075258.9,1075258.9,2017-01-19 00:00:00.000000,2018-04-30 00:00:00.000000,520 INDUSTRIAL LOOP,,STATEN ISLAND,NY,NEW YORK,103091121,11.0,9174402039,7189669090,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
A2Z SUPPLY CORP,"ammunition,, 30mm, miscellaneous, ammunition, 75mm",23,1012911.2400000001,1012911.2400000001,2011-05-06 00:00:00.000000,2018-01-20 00:00:00.000000,302 MAIN ST,,STEVENSVILLE,MT,MONTANA,598702530,00,4067771988,4067771990,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
