recipient_parent_name,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number
"PACKET FORENSICS, LLC",1,37161.0,47158.0,2012-08-01 00:00:00,2020-09-14 00:00:00,254 W BASELINE RD STE 103,,TEMPE,AZ,ARIZONA,85283,,7575126860,
HULLIHENS LAWN CARE INC,1,36360.0,36360.0,2014-04-01 00:00:00,2018-09-30 00:00:00,1344 SKYLINE DR,,BLANDBURG,PA,PENNSYLVANIA,166190000,,8146873733,8146874888
HAYNES SECURITY CORP,4,36209.36000000001,36209.36000000001,2018-02-12 00:00:00,2018-08-17 00:00:00,15 GAZZA BLVD,,FARMINGDALE,NY,NEW YORK,117351401,02,6314209454,6314209454
L-3 COMMUNICATIONS HOLDINGS  INC.,5,36138.0,36138.0,2010-04-27 00:00:00,2018-03-31 00:00:00,10E COMMERCE WAY,,WOBURN,MA,DISTRICT OF COLUMBIA,018011044,05,7819701619,7819393949
NEO TECHNOLOGIES  INC.,2,36128.4,36128.4,2012-06-01 00:00:00,2017-05-31 00:00:00,2901 DRUID PARK DR STE C104,,BALTIMORE,MD,MARYLAND,212158102,7.0,4107289104,4107289106
WHISPERING PINES ENTERPRISES  LTD,2,36109.46,36109.46,2014-04-23 00:00:00,2017-10-13 00:00:00,5046 BUCHANAN ST,,HYATTSVILLE,MD,MARYLAND,207812436,4.0,3017794545,3019276838
"BENTLEY MILLS, INC.",3,35864.62,35864.62,2017-12-22 00:00:00,2018-02-07 00:00:00,14641 E DON JULIAN RD,,CITY OF INDUSTRY,CA,CALIFORNIA,917463106,32.0,7707831557,7707831557
STERICYCLE  INC.,3,35448.119999999995,41283.0,2016-05-10 11:31:54,2019-05-31 00:00:00,3801 OCEAN RANCH BLVD STE 101,,OCEANSIDE,CA,CALIFORNIA,920568603,49.0,5136990830,
THE PALMAS ACADEMY INC,3,34865.0,34865.0,2010-08-03 00:00:00,2019-05-31 00:00:00,10 ACADEMY DR,,HUMACAO,PR,PUERTO RICO,007916130,00,7878509120,7878509169
GRADUATE SCHOOL,2,34756.0,34756.0,2010-08-09 00:00:00,2017-09-15 00:00:00,600 MARYLAND AVE SW STE 180,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200242520,0.0,2023143428,2023143444
SUPER PRO CUSTOM,1,34750.0,34750.0,2011-10-19 00:00:00,2018-03-29 00:00:00,10410 LEMON AVE,,ALTA LOMA,CA,CALIFORNIA,917373761,31.0,9098270307,9094767365
RITE-KEM  INC.,4,34418.170000000006,34418.170000000006,2017-08-24 00:00:00,2018-07-22 00:00:00,703 WESTMORELAND DR,,TUPELO,MS,TEXAS,388016521,01,6628406060,4803935843
INFOCUS HEALTH  LLC,1,34350.86,194334.86,2016-07-26 00:00:00,2021-08-31 00:00:00,1907 APPLETON DR,,MISSOURI CITY,TX,TEXAS,774894097,09,8323984119,8322884335
RESPONSE MARKETING  INC.,2,34160.0,34160.0,2017-09-22 00:00:00,2017-09-29 00:00:00,6900 SHADY OAK RD STE 200,,EDEN PRAIRIE,MN,MINNESOTA,553443423,3.0,9529412837,9529499816
QUALIFICATION TARGETS INC,3,33205.0,33205.0,2011-01-06 00:00:00,2016-10-19 00:00:00,9800 GARDEN LN,,ROGERS,MN,MINNESOTA,553749774,3.0,,
PREMIUM STATIONERS  INC.,2,33199.74,33199.74,2016-05-18 00:00:00,2017-03-01 00:00:00,65 DEER CREEK RD,,POMONA,CA,CALIFORNIA,917664935,35.0,3232851668,
CUMMINS INC.,1,33095.24,33095.24,2015-09-17 00:00:00,2017-12-01 00:00:00,1400 73RD AVE NE,,MINNEAPOLIS,MN,MINNESOTA,554323702,5.0,6517876162,6514155282
ASSET SECURITY TRACKING RECOVE,3,32600.0,32600.0,2011-09-09 00:00:00,2018-03-06 00:00:00,17360 N 84TH LANE,,PEORIA,AZ,ARIZONA,853828014,8.0,6023093530,6029268479
THE LIGHTHOUSE FOR THE BLIND IN NEW ORLEANS INCORPORATED,1,32592.0,32592.0,2018-04-06 00:00:00,2018-05-06 00:00:00,123 STATE ST,,NEW ORLEANS,LA,LOUISIANA,701185733,01,5048994501,
TREEFORT INC,1,32510.52,32510.52,2016-12-09 16:38:21,2018-09-29 00:00:00,4500 PARK GLEN RD STE 360,,ST LOUIS PARK,MN,MINNESOTA,554164711,5.0,6124248340,6124248340
CAPITAL SHREDDER CORP,3,32470.0,32470.0,2016-06-30 14:27:33,2018-04-30 00:00:00,5550 WILKINS CT,,ROCKVILLE,MD,MARYLAND,208521830,08,,
PATRIOT COMM,2,32436.93,32436.93,2013-05-13 00:00:00,2020-03-03 00:00:00,14073 CROWN CT,,WOODBRIDGE,VA,VIRGINIA,22193,,5714023200,7035804829
RIVER CITY RANGE  LLC,4,31944.0,174240.0,2015-01-23 00:00:00,2021-04-14 00:00:00,6020 W BROAD ST,,RICHMOND,VA,VIRGINIA,232302222,7.0,8042662666,
KING FAHD PALACE,1,31605.49,31605.49,2013-09-04 00:00:00,2017-08-13 00:00:00,POINTE DES ALMADIES,,DAKAR,,,,,,
CITY OF ORLANDO,3,31400.0,55400.0,2016-05-01 00:00:00,2021-04-30 00:00:00,400 S ORANGE AVE LBBY,,ORLANDO,FL,FLORIDA,328013317,10.0,4072462341,4072463712
SCI  INC.,2,31344.39,31344.39,2017-12-15 13:11:13,2018-04-16 00:00:00,3801 RUTLEDGE NE,,ALBUQUERQUE,NM,NEW MEXICO,871094540,1.0,5059981150,5059981156
TECHNICAL COMMUNITIES  INC.,1,30794.0,30794.0,2010-05-05 00:00:00,2018-06-15 00:00:00,550 TAYLOR AVE,2ND FLOOR,SAN BRUNO,CA,CALIFORNIA,940666497,,,
ACCESS DISTRIBUTORS  INC.,1,30710.4,30710.4,2010-05-25 00:00:00,2016-02-09 00:00:00,38 POND ST STE 208,,FRANKLIN,MA,MASSACHUSETTS,020383823,4.0,,
X BRAND MATTRESS LLC,1,30485.06,30485.06,2017-08-23 00:00:00,2017-09-23 00:00:00,901 E WASHINGTON ST STE 2,,ORLANDO,FL,FLORIDA,328012905,7.0,3347972795,
TIFT  RICHARD T,2,30250.0,45250.0,2011-11-15 00:00:00,2022-04-30 00:00:00,6076 VIA HERMOSA CT,,EL PASO,TX,TEXAS,799122657,16.0,9154941980,9155331153
WITMER PUBLIC SAFETY GROUP  INC.,3,30232.199999999997,30232.199999999997,2010-05-12 00:00:00,2017-11-06 00:00:00,104 INDEPENDENT WAY,,COATESVILLE,PA,PENNSYLVANIA,193201653,7.0,,
ATHENS TECHNICAL SPECIALISTS  INC,2,30143.86,30143.86,2018-02-23 09:02:45,2018-03-23 00:00:00,8157 US HIGHWAY 50,,ATHENS,OH,OHIO,457019303,15.0,7405922874,7405942875
TOWN OF ISLIP,2,30000.0,48000.0,2010-07-06 00:00:00,2020-03-31 00:00:00,50 IRISH LN,,EAST ISLIP,NY,NEW YORK,117302003,2.0,6315953840,6312245701
OUT & EQUAL WORKPLACE ADVOCATES,3,30000.0,30000.0,2016-09-30 13:25:54,2016-10-07 00:00:00,155 SANSOME ST STE 450,,SAN FRANCISCO,CA,CALIFORNIA,941040000,,4156946521,4156946530
SAUL MINEROFF ELECTRONICS INC.,1,29999.84,29999.84,2010-08-19 00:00:00,2017-12-15 00:00:00,574 MEACHAM AVE,,ELMONT,NY,NEW YORK,110033866,5.0,5167751370,5167751371
NETCOM INFORMATION TECHNOLOGY  INC.,2,29990.0,29990.0,2016-06-07 11:47:11,2016-07-29 00:00:00,"519 8TH AVE, FL 2",,NEW YORK,NY,NEW YORK,100186544,10.0,2126297265,2129475462
C2G  LTD CO.,1,29877.12,49795.2,2010-04-08 00:00:00,2021-03-31 00:00:00,110 MALLOCK CT,,GOOSE CREEK,SC,SOUTH CAROLINA,294455446,1.0,8438790942,8438790945
GO TO GROUP  INC  THE,1,29876.0,29876.0,2011-11-18 00:00:00,2018-11-18 00:00:00,138 N HICKORY AVE,,BEL AIR,MD,MARYLAND,210143240,1.0,7036385358,8774424669
"TELECOMUNICACIONES DE PUERTO RICO, INC",2,29788.18,29788.18,2018-01-08 00:00:00,2020-05-30 00:00:00,1515 FD ROOSEVELT AVE,,GUAYNABO,PR,PUERTO RICO,009682705,0.0,7875797041,
ABACUS-N-BYTES  INC.,3,29700.0,29700.0,2017-07-05 00:00:00,2020-08-04 00:00:00,8757 GEORGIA AVE STE 500,,SILVER SPRING,MD,MARYLAND,209103743,8.0,5717488979,
PHONOSCOPE  INC.,1,29567.8,55286.2,2017-05-01 00:00:00,2021-04-30 00:00:00,5959 CORPORATE DR STE 3300,,HOUSTON,TX,TEXAS,770362394,9.0,8326157927,7132714334
CAROL DAVIS REPORTING  RECORDS & VIDEO  INC.,4,29219.6,29219.6,2009-12-23 00:00:00,2017-12-31 00:00:00,7838 HILLMONT ST,,HOUSTON,TX,TEXAS,770406108,18.0,7136475100,7136475183
CIH SUPPORT  LLC,3,29035.800000000003,157110.84,2017-08-24 00:00:00,2022-08-24 00:00:00,101 LA RIVIERE RD,,COCOA BEACH,FL,FLORIDA,329312607,8.0,3217505197,
MYSTAIRE INC.,1,29000.0,72500.0,2013-04-09 00:00:00,2022-09-13 00:00:00,15113 DOBBYN CREEK RD,,CREEDMOOR,NC,NORTH CAROLINA,275227023,02,9192298511,9195281744
CRIME POINT  INC.,2,28648.0,28648.0,2010-06-09 00:00:00,2017-04-13 00:00:00,938 VERDULERA ST,,CAMARILLO,CA,CALIFORNIA,930106038,26.0,8054849901,8053883374
HELGEN INDUSTRIES  INC,1,28052.0,28052.0,2011-04-06 00:00:00,2018-03-05 00:00:00,431 BAYVIEW AVE,,AMITYVILLE,NY,NEW YORK,117012638,2.0,6318416300,6318416320
UNITED PARCEL SERVICE  INC.,8,28015.33,84015.33,2008-01-10 00:00:00,2022-08-31 00:00:00,1400 N HURSTBOURNE PKWY,,LOUISVILLE,KY,KENTUCKY,402234015,3.0,5023595559,5023741013
TECOLOTE RESEARCH  INC.,1,28000.0,28000.0,2013-07-25 00:00:00,2017-07-25 00:00:00,420 S FAIRVIEW AVE STE 201,,GOLETA,CA,CALIFORNIA,931173626,24,8055716366,8055716377
STATE OF TEXAS,6,27674.0,43674.0,2009-04-13 00:00:00,2022-02-28 00:00:00,101 E 15TH ST,,AUSTIN,TX,TEXAS,787011442,25.0,5129366049,5124750144
CUMMINS-ALLISON CORP.,5,27257.9,27257.9,2009-11-23 00:00:00,2018-08-20 00:00:00,852 FEEHANVILLE DR,,MOUNT PROSPECT,IL,OHIO,600566002,10,8008754238,2403860163
MIL-COMM GROUP INTERNATIONAL  LLC,1,27075.0,27075.0,2018-05-24 00:00:00,2018-06-23 00:00:00,21412 YORK RD,,FREELAND,MD,MARYLAND,210539615,01,7329981275,
NATIONAL SHERIFFS' ASSOCIATION,3,26900.0,26900.0,2010-01-08 00:00:00,2018-06-30 00:00:00,1450 DUKE ST,,ALEXANDRIA,VA,VIRGINIA,223143490,08,7038367827,7036836541
WORLD WIDE ENTERPRISES INC,1,26883.0,51448.5,2016-04-01 00:00:00,2021-09-30 00:00:00,607 CEDAR ST STE 4,,CEDAR HILL,TX,TEXAS,751042673,30.0,4692720021,9722931010
COGENT SOLUTIONS,1,26721.0,26721.0,2018-05-22 15:51:03,2009-05-09 00:00:00,321 WALLACE ST STE 2,,FREDERICKSBURG,VA,VIRGINIA,224013122,01,,
APL ACCESS & SECURITY  INC.,3,26701.57,26701.57,2010-06-01 00:00:00,2018-12-06 00:00:00,115 SOUTH WILLIAM DILLARD DR,,GILBERT,AZ,ARIZONA,852335525,5.0,4804979471,4804979371
ABBA TECHNOLOGIES  INC.,1,26687.94,26687.94,2017-08-10 12:19:40,2020-09-28 00:00:00,5301 BEVERLY HILLS AVE NE,,ALBUQUERQUE,NM,NEW MEXICO,871132143,1.0,5058893337,5058893338
SPARTAN CHEMICAL COMPANY  INC.,4,26532.090000000004,26532.090000000004,2010-03-12 00:00:00,2018-06-14 00:00:00,1110 SPARTAN DR,,MAUMEE,OH,OHIO,435371725,05,,
KEYSIGHT TECHNOLOGIES  INC.,2,26522.32,26522.32,2017-07-13 11:06:55,2017-10-10 00:00:00,9780 S MERIDIAN BLVD,,ENGLEWOOD,CO,COLORADO,801125910,4.0,8008294444,8008294433
SAN DIEGO POWER  LLC,1,26490.3,26490.3,2017-12-13 09:12:06,2018-01-31 00:00:00,361 HUNTER LN,,ALPINE,CA,CALIFORNIA,919012633,50.0,6196698555,
INSTALLATION MORALE WELFARE RECREATION FUND,2,26412.0,84012.0,2017-10-25 00:00:00,2023-04-29 00:00:00,BUILDING 11 PERSHING RD,,EL PASO,TX,TEXAS,799163803,16,9155683412,9155681921
SIEMENS AG,2,26361.46,26361.46,2011-09-01 00:00:00,2018-01-19 00:00:00,1000 DEERFIELD PKWY,,BUFFALO GROVE,IL,ILLINOIS,600894547,10.0,7034808931,8669581156
ELLISON SYSTEMS INC.,2,26286.64,26286.64,2010-03-30 00:00:00,2017-02-27 00:00:00,39 BROADWAY RM 2030,,NEW YORK,NY,NEW YORK,100063082,10.0,2126193353,3474383034
EWING ELECTRONICS  INC.,1,26188.72,26188.72,2010-09-29 00:00:00,2017-10-27 00:00:00,1022 S GREENVILLE AVE STE 300,,ALLEN,TX,TEXAS,750023345,3.0,4695192900,2142370268
WHITAKER BROTHERS BUSINESS MACHINES  INC,3,26157.0,26157.0,2012-01-04 00:00:00,2013-06-07 00:00:00,3 TAFT CT,,ROCKVILLE,MD,MARYLAND,208501349,08,3013543000,3013543003
CALIFORNIA HIGHWAY PATROLMAN'S CLUB,1,25999.2,32499.0,2010-09-01 00:00:00,2019-11-30 00:00:00,3910 ALFRED HARRELL HWY,,BAKERSFIELD,CA,CALIFORNIA,93308,,6613198083,
ACORN OFFICE PRODUCTS  LLC,5,25938.66,25938.66,2012-08-23 00:00:00,2016-10-31 00:00:00,706 STATE ROUTE 15 S STE 201C,,LAKE HOPATCONG,NJ,NEW JERSEY,078492250,11,9736633600,9736633603
PACIFIC DATACOM SYSTEMS INC.,1,25920.0,25920.0,2015-08-03 00:00:00,2016-05-06 00:00:00,"927 CALLE NEGOCIO, STE L",,SAN CLEMENTE,CA,CALIFORNIA,926736222,49.0,9495427995,9495427996
DENVER HEALTH AND HOSPITALS AUTHORITY INC,3,25860.0,25860.0,2011-03-30 00:00:00,2018-09-30 00:00:00,777 BANNOCK ST,,DENVER,CO,COLORADO,802044507,01,3036024963,
KYOCERA CORPORATION,2,25405.69,25405.69,2011-12-27 00:00:00,2017-03-27 00:00:00,225 SAND RD,,FAIRFIELD,NJ,NEW JERSEY,070041575,11,,
ICS JAIL SUPPLIES  INC.,3,25322.4,25322.4,2011-01-13 00:00:00,2019-06-05 00:00:00,7400 IMPERIAL DR,,WACO,TX,TEXAS,767126605,17,,
SCALETTA MOLONEY ARMORING CORP,3,25276.2,25276.2,2011-09-30 00:00:00,2017-11-22 00:00:00,6755 S BELT CIRCLE DR,,BEDFORD PARK,IL,ILLINOIS,606384705,3.0,7089240099,7089241199
ACAMS INC,5,25000.0,25000.0,2011-01-20 00:00:00,2018-10-05 00:00:00,80 SW 8TH ST STE 2350,,MIAMI,FL,FLORIDA,331303013,27,3052975555,3053737788
RSTUDIO  INC.,1,24985.0,24985.0,2017-05-02 13:55:34,2019-05-16 00:00:00,250 NORTHERN AVE #420,,BOSTON,MA,MASSACHUSETTS,021182035,07,8444481212,
"NATIONAL GLASS & GATE SERVICE, INC.",1,24816.72,47895.9,2015-09-01 00:00:00,2021-03-31 00:00:00,263 JENCKES HILL RD,,LINCOLN,RI,RHODE ISLAND,02865,,4013334800,4013332779
BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,1,24816.72,47895.9,2018-04-17 00:00:00,2021-02-28 00:00:00,614 GEORGE WASHINGTON HWY STE 3,,LINCOLN,RI,RHODE ISLAND,028654271,01,4012886647,4016850402
TRUCKVAULT  INC.,2,24744.0,24744.0,2010-09-24 00:00:00,2017-11-21 00:00:00,315 TOWNSHIP ST SEDRO WOOLLEY,,SEDRO WOOLLEY,WA,WASHINGTON,982841241,2.0,3608550464,3608552239
NOSLER  INC.,2,24700.0,24700.0,2017-08-15 00:00:00,2017-08-20 00:00:00,107 SW COLUMBIA ST,,BEND,OR,OREGON,977021014,2.0,5413823921,
L & R MANUFACTURING CO INC,3,24485.6,24485.6,2012-08-14 00:00:00,2013-12-09 00:00:00,577 ELM ST,,KEARNY,NJ,NEW JERSEY,070323604,09,,
TIDEWATER DISTRIBUTORS  LLC,2,24454.0,24454.0,2013-09-18 00:00:00,2016-12-21 00:00:00,4940 RUTHERFORD RD STE 300,,VIRGINIA BEACH,VA,VIRGINIA,234554617,02,7573186652,8663817782
CICELY B HUDSON SOLUTIONS LLC,1,24449.0,24449.0,2016-01-19 00:00:00,2016-02-18 00:00:00,1065 MEREDITH PRK DR,,MCDONOUGH,GA,GEORGIA,302537557,3.0,2022880450,
VOHNE LICHE KENNELS INC,2,24310.0,24310.0,2016-08-16 16:20:06,2017-08-21 00:00:00,7953 N OLD RTE 31,,DENVER,IN,INDIANA,469269090,2.0,7659852274,7659852595
FEDCAP REHABILITATION SERVICES  INC.,1,24260.28,122383.32,2014-07-30 00:00:00,2023-08-31 00:00:00,633 3RD AVE 6TH FL,,NEW YORK,NY,NEW YORK,100176787,12,2127274357,2127274374
NATIONAL INDUSTRIES FOR THE BLIND,3,24225.47,24225.47,2010-03-18 00:00:00,2017-10-20 00:00:00,1310 BRADDOCK PL,,ALEXANDRIA,VA,VIRGINIA,223141691,8.0,7033100330,7033100494
GLOBAL INFINITY ENTERPRISE LIMITED LIABILITY COMPANY,1,24091.32,24091.32,2016-05-23 00:00:00,2016-10-17 00:00:00,2 MANOR CT,,EDISON,NJ,NEW JERSEY,088172974,6.0,7325430879,7325430880
AEROSTAR AIRPORT HOLDINGS  LLC,1,24000.0,24000.0,2018-05-15 11:07:42,2013-12-31 00:00:00,TERMINAL D 1ST LEVEL LMM,,CAROLINA,PR,PUERTO RICO,00979,00,7872897240,7872897241
PROGEND INC,1,23898.72,119493.96,2018-06-22 00:00:00,2023-07-01 00:00:00,5330 GRIGGS RD SUITE B107,,HOUSTON,TX,CALIFORNIA,770213700,18,7135404991,2819290523
PORTALS HOTEL SITE LLC,2,23785.0,23785.0,2016-06-27 16:01:26,2016-06-30 00:00:00,1330 MARYLAND AVE SW,,WASHINGTON,DC,DISTRICT OF COLUMBIA,20024,00,2024158010,
GOALTEX CORP,1,23760.0,23760.0,2010-04-14 00:00:00,2016-05-01 00:00:00,146 SPLIT ROCK RD,,SYOSSET,NY,NEW YORK,117912634,3.0,5166825775,5166825718
UMBC TRAINING CENTERS LLC,1,23389.17,23389.17,2018-02-27 11:56:49,2018-02-27 00:00:00,6996 COLUMBIA GATEWAY DR STE 100,,COLUMBIA,MD,MARYLAND,210463302,3.0,4436926600,4436926602
SPS INDUSTRIAL INC.,2,23310.0,23310.0,2015-08-20 00:00:00,2015-10-20 00:00:00,3324 SE GRAN PARK WAY,,STUART,FL,FLORIDA,349978859,18,3212518156,4079563820
ANA-LAB CORPORATION,2,23232.0,58080.0,2010-10-01 00:00:00,2017-08-31 00:00:00,2600 DUDLEY RD,,KILGORE,TX,TEXAS,756623730,1.0,9039853161,9039845914
ACTIONABLE INTELLIGENCE TECHNOLOGIES  INC.,3,23218.66,23218.66,2010-04-29 00:00:00,2019-07-16 00:00:00,105 EXECUTIVE DR STE 200,,STERLING,VA,,201669558,VA10,2025586569,8002146364
TEXTRON INC.,2,23117.7,23117.7,2016-09-23 00:00:00,2016-10-26 00:00:00,1451 MARVIN GRIFFIN RD,,AUGUSTA,GA,GEORGIA,309063852,12.0,8004487476,7067922001
VOLICON INC.,1,22712.01,31229.01,2010-08-17 00:00:00,2015-08-17 00:00:00,111 S BEDFORD ST STE 201,,BURLINGTON,MA,MASSACHUSETTS,018035145,06,7812217400,7812217407
BSE PERFORMANCE LLC,1,22660.0,43720.0,2010-02-16 00:00:00,2015-03-21 00:00:00,22471 N 82ND AVE,,PEORIA,AZ,,853832169,AZ02,4809223896,4809223104
GRIFFEYE INC.,3,22400.0,22400.0,2017-07-27 09:20:26,2018-09-29 00:00:00,12814 MOUNT ROYAL LN,,FAIRFAX,VA,VIRGINIA,220333624,11.0,7032820757,
KLEMES FAMILY HOLDINGS  INC.,1,22368.0,28128.0,2015-02-24 00:00:00,2020-02-29 00:00:00,3909 MEMO COURT,,RALEIGH,NC,NORTH CAROLINA,276101375,4.0,9197415024,9198721900
CITY OF PHILADELPHIA,1,22260.0,22260.0,2012-09-01 00:00:00,2018-08-31 00:00:00,336 CITY HALL,,PHILADELPHIA,PA,PENNSYLVANIA,191070000,,2156836988,2156836984
BOSS INNOVATION & MARKETING INC.,1,22223.0,22223.0,2010-03-22 00:00:00,2018-05-13 00:00:00,30265 TOMAS,,RANCHO SANTA MARGARITA,CA,CALIFORNIA,926882123,45,9497092435,9497092460
CONNECTICUT TRAILERS  INC.,1,22210.0,22210.0,2015-09-02 00:00:00,2016-09-29 00:00:00,7 BOLTON CENTER RD,,BOLTON,CT,CONNECTICUT,060437205,2.0,8606497223,8606458755
AMS STRATEGIC MANAGEMENT  INC.,2,22041.8,22041.8,2017-09-18 00:00:00,2018-01-25 00:00:00,212 TONDO CR.,,HARRIMAN,NY,NEW YORK,109263459,18.0,8455005635,
SUMURI LLC,2,22017.96,22017.96,2014-01-07 00:00:00,2018-04-13 00:00:00,"49 BRENDA LANE, SUITE A, CAMDEN BUSINESS CENTER",,CAMDEN,DE,DELAWARE,199342282,00,3025700015,
CXOWARE  INC.,1,22000.0,22000.0,2018-01-23 13:46:39,2019-01-22 00:00:00,601 W MAIN AVE STE 917,,SPOKANE,WA,WASHINGTON,992010613,5.0,8669360191,8669360191
CASCADE NETWORKS  INC.,2,21929.16,21929.16,2015-11-25 00:00:00,2015-11-30 00:00:00,1111 11TH AVE,,LONGVIEW,WA,WASHINGTON,986323109,3.0,3604424440,3604145991
NORTH CENTRAL SIGHT SERVICES  INC.,1,21790.0,21790.0,2016-08-09 00:00:00,2016-09-08 00:00:00,2121 REACH RD,,WILLIAMSPORT,PA,PENNSYLVANIA,177015575,10.0,5703239401,5703238194
ACME SUPPLY CO.  LTD,1,21734.7,21734.7,2015-12-24 00:00:00,2017-03-10 00:00:00,10 CEDAR SWAMP RD STE 7,,GLEN COVE,NY,NEW YORK,115423746,3.0,5166296940,5166296941
CJEN INC.,1,21450.0,21450.0,2016-08-24 16:40:26,2016-09-30 00:00:00,17321 JEFFERSON DAVIS HWY # 3,,DUMFRIES,VA,VIRGINIA,220262271,11.0,2022415930,8668491207
ADVANCED TECHNOLOGY GROUP  INC.,2,21350.0,21350.0,2017-01-24 09:38:11,2017-02-13 00:00:00,5600 ROSWELL RD NE STE 120 N,,ATLANTA,GA,GEORGIA,303421154,6.0,4042529611,4042528118
CENTRAL TRANSPORTATION SYSTEMS INC,2,21300.0,21300.0,2015-04-27 00:00:00,2017-06-26 00:00:00,4105 RIO BRAVO ST STE 100,,EL PASO,TX,TEXAS,799021090,16.0,9156150837,9157817703
D'TEL COMMUNICATIONS  INC,3,21153.0,21153.0,2013-03-22 00:00:00,2017-08-09 00:00:00,5135 BELLERIVE DR,,DALLAS,TX,TEXAS,752877551,3.0,9724900120,9724900122
EMCOR GROUP  INC.,1,21104.81,21104.81,2013-03-07 00:00:00,2017-11-01 00:00:00,"320 23RD. STREET, SOUTH",SUITE,ARLINGTON,VA,VIRGINIA,222023746,8.0,,
FEENEY WIRELESS  LLC,1,21055.9,21055.9,2017-10-19 12:59:24,2017-10-19 00:00:00,1505 WESTEC DRIVE,,EUGENE,OR,OREGON,974022916,4.0,5416859045,5412840030
KWIZCOM CORPORATION,1,21006.0,21006.0,2017-07-06 18:40:56,2022-07-05 00:00:00,95 MURAL ST SUITE 600,,RICHMOND HILL,,ON,L4B 3G2,,,9057841153
VETERANS TECH  LLC,2,20928.0,20928.0,2017-09-14 00:00:00,2017-10-13 00:00:00,6060 HOLLOW TREE CT,,COLORADO SPRINGS,CO,COLORADO,809181436,5.0,7193686185,7195990270
RAVEN SERVICES JV  LLC,2,20907.75,20907.75,2015-07-28 00:00:00,2016-10-17 00:00:00,9626 CENTER STREET,,MANASSAS,VA,VIRGINIA,201105522,10.0,7033688611,7033688450
ADORAMA INC.,3,20896.65,20896.65,2010-02-03 00:00:00,2018-06-23 00:00:00,42 W 18TH ST FL 2,,NEW YORK,NY,NEW YORK,100114621,12,2127400401,2127411027
BCS SYSTEMS  INC.,1,20786.04,31530.91,2010-05-11 00:00:00,2018-09-25 00:00:00,10333 RICHMOND AVE STE 610,,HOUSTON,TX,TEXAS,770424172,9.0,7139786511,7139786504
TONAWANDA SPORTSMEN'S CLUB INC,2,20740.0,46240.0,2017-01-11 00:00:00,2020-01-05 00:00:00,5657 KILLIAN RD,,NORTH TONAWANDA,NY,NEW YORK,141209598,27.0,7169094401,7168129582
NOBLE SALES CO.  INC.,2,20586.66,20586.66,2010-08-18 00:00:00,2017-03-03 00:00:00,104 LONGWATER DR,,NORWELL,MA,MASSACHUSETTS,020611625,9.0,,
US 21  INC.,3,20582.21,20582.21,2016-03-30 00:00:00,2016-08-18 00:00:00,2721 PROSPERITY AVE STE 300,,FAIRFAX,VA,VIRGINIA,220314341,11.0,7035600021,7035602336
GIBBS CONTRACTING INC.,1,20387.91,20387.91,2017-08-17 00:00:00,2017-09-30 00:00:00,1818 NEW YORK AVE NE STE 206,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200021849,0.0,2026364310,2026364344
UNITED SITE SERVICES  INC.,1,20321.37,20321.37,2016-06-30 13:09:27,2016-09-30 00:00:00,50 WASHINGTON ST # 1000,,WESTBOROUGH,MA,MASSACHUSETTS,015811013,2.0,5085942615,5088705712
FOX RIVER GRAPHICS LLC,2,20286.0,20286.0,2010-08-31 00:00:00,2017-07-17 00:00:00,218 MAIN ST S STE 100,,HUTCHINSON,MN,MINNESOTA,553502603,7.0,8474285068,8474284644
INTERNATIONAL CARTRIDGE CORPORATION,4,20063.719999999998,20063.719999999998,2016-07-21 09:23:21,2020-12-06 00:00:00,2273 ROUTE 310,,REYNOLDSVILLE,PA,PENNSYLVANIA,158512429,5.0,8149386820,8149386821
TRI-MECH SOLUTIONS  LLC,1,20000.0,20000.0,2018-05-30 14:53:59,2018-06-15 00:00:00,4461 COX RD STE 302,,GLEN ALLEN,VA,VIRGINIA,230603331,07,4102909650,8042577945
MARINUS ANALYTICS LLC,1,20000.0,92820.0,2016-08-05 15:13:00,2018-11-30 00:00:00,4620 HENRY STREET,,PITTSBURGH,PA,PENNSYLVANIA,152133715,14.0,8669452803,
TINFOIL SECURITY INC,2,20000.0,20000.0,2016-09-22 08:31:28,2017-11-03 00:00:00,2483 OLD MIDDLEFIELD WAY STE 207,,MOUNTAIN VIEW,CA,CALIFORNIA,940432330,18.0,6466449351,
SECURITY SOLUTIONS GROUP  L.L.C.,1,20000.0,50000.0,2012-09-13 00:00:00,2019-02-28 00:00:00,614 FRELINGHUYSEN AVE,,NEWARK,NJ,NEW JERSEY,071141356,10.0,9732424431,9732420695
PRIORITY COURIER,1,19930.92,19930.92,2010-09-30 00:00:00,2018-09-29 00:00:00,119 RACINE ST UNIT 112,,MEMPHIS,TN,TENNESSEE,381112726,9.0,9013273121,9013278377
SEATTLE POLICE ATHLETIC ASSOC,1,19800.0,37040.0,2010-01-21 00:00:00,2020-11-30 00:00:00,11030 E MARGINAL WAY S,,TUKWILA,WA,WASHINGTON,98168,,2067627468,2067689619
